Player,PER,TS%,WS,BPM,VORP
Steven Adams\adamsst01,20.5,.604,6.5,2.9,2.1
Bam Adebayo\adebaba01,20.3,.598,8.5,3.4,3.3
LaMarcus Aldridge\aldrila01,19.7,.571,4.5,1.4,1.5
Kyle Alexander\alexaky01,4.7,.500,0.0,-10.1,0.0
Nickeil Alexander-Walker\alexani01,8.9,.473,-0.2,-4.6,-0.4
Grayson Allen\allengr01,12.0,.609,1.2,-1.3,0.1
Jarrett Allen\allenja01,20.7,.664,8.2,2.3,2.0
Kadeem Allen\allenka01,14.0,.512,0.1,-0.9,0.0
Al-Farouq Aminu\aminual01,7.6,.395,0.1,-3.0,-0.1
Justin Anderson\anderju01,3.2,.352,-0.1,-7.7,-0.2
Kyle Anderson\anderky01,12.5,.534,2.5,0.5,0.9
Ryan Anderson\anderry01,9.4,.357,0.0,-2.8,0.0
Giannis Antetokounmpo\antetgi01,31.9,.613,11.1,11.5,6.6
Kostas Antetokounmpo\antetko01,16.3,.902,0.1,-0.7,0.0
Thanasis Antetokounmpo\antetth01,12.2,.496,0.2,-3.2,0.0
Carmelo Anthony\anthoca01,12.4,.525,1.3,-3.6,-0.8
OG Anunoby\anunoog01,13.2,.600,5.7,1.2,1.7
Ryan Arcidiacono\arcidry01,9.0,.551,1.4,-2.8,-0.2
Trevor Ariza\arizatr01,11.0,.593,2.5,-0.5,0.6
Trevor Ariza\arizatr01,9.4,.543,1.1,-0.6,0.3
Trevor Ariza\arizatr01,12.8,.643,1.4,-0.4,0.3
D.J. Augustin\augusdj01,14.0,.554,2.9,-1.6,0.2
Deandre Ayton\aytonde01,20.0,.568,3.1,0.4,0.7
Dwayne Bacon\bacondw01,6.1,.419,-0.8,-6.8,-0.8
Marvin Bagley III\baglema01,15.6,.512,0.4,-3.5,-0.1
Lonzo Ball\balllo01,13.1,.517,2.4,0.6,1.3
Mo Bamba\bambamo01,17.5,.542,2.5,0.4,0.5
J.J. Barea\bareajo01,14.6,.512,0.7,-1.4,0.1
Harrison Barnes\barneha02,13.3,.574,4.6,-1.3,0.5
RJ Barrett\barrerj01,10.7,.479,-0.5,-4.3,-1.0
Will Barton\bartowi01,15.6,.549,4.2,1.1,1.5
Keita Bates-Diop\bateske01,12.4,.539,1.2,-1.4,0.1
Keita Bates-Diop\bateske01,12.5,.535,1.0,-0.9,0.2
Keita Bates-Diop\bateske01,12.1,.571,0.2,-5.0,-0.1
Nicolas Batum\batumni01,9.2,.463,0.6,-1.9,0.0
Aron Baynes\baynear01,15.2,.581,2.1,-1.0,0.2
Kent Bazemore\bazemke01,9.3,.499,0.6,-3.0,-0.5
Kent Bazemore\bazemke01,7.5,.475,-0.2,-3.2,-0.3
Kent Bazemore\bazemke01,12.6,.533,0.8,-2.8,-0.1
Darius Bazley\bazleda01,9.6,.497,1.0,-1.6,0.1
Bradley Beal\bealbr01,23.2,.579,5.1,2.9,2.5
Malik Beasley\beaslma01,12.7,.546,1.2,-2.1,0.0
Malik Beasley\beaslma01,10.5,.511,0.5,-2.9,-0.2
Malik Beasley\beaslma01,16.2,.591,0.8,-0.7,0.2
Marco Belinelli\belinma01,10.8,.532,0.8,-2.7,-0.2
Jordan Bell\belljo01,13.9,.577,0.4,-2.5,0.0
Jordan Bell\belljo01,14.1,.570,0.4,-2.6,0.0
Jordan Bell\belljo01,12.6,.635,0.0,-1.6,0.0
DeAndre' Bembry\bembrde01,9.6,.500,0.2,-2.5,-0.1
Dragan Bender\bendedr01,10.9,.545,0.3,-2.9,-0.1
Dragan Bender\bendedr01,8.4,.582,0.2,-1.2,0.0
Dragan Bender\bendedr01,12.1,.534,0.1,-3.7,-0.1
Dāvis Bertāns\bertada01,15.5,.628,3.5,0.9,1.1
Patrick Beverley\beverpa01,12.5,.560,3.6,2.2,1.4
Khem Birch\birchkh01,11.7,.566,2.2,-2.4,-0.1
Goga Bitadze\bitadgo01,12.1,.523,0.7,-2.3,0.0
Bismack Biyombo\biyombi01,16.1,.570,2.4,-2.5,-0.1
Nemanja Bjelica\bjeline01,15.7,.602,5.3,1.8,1.9
Eric Bledsoe\bledser01,17.6,.571,5.4,1.8,1.6
Bogdan Bogdanović\bogdabo01,15.2,.565,3.1,0.6,1.2
Bojan Bogdanović\bogdabo02,15.6,.603,4.2,0.1,1.1
Bol Bol\bolbo01,14.4,.617,0.1,-3.0,0.0
Jonah Bolden\boldejo01,4.9,.392,0.0,-9.2,-0.1
Jonah Bolden\boldejo01,-2.0,.515,0.0,-14.7,0.0
Jonah Bolden\boldejo01,7.9,.338,0.0,-6.9,0.0
Marques Bolden\boldema01,19.8,,0.0,5.4,0.0
Jordan Bone\bonejo01,0.8,.300,-0.1,-11.9,-0.1
Isaac Bonga\bongais01,10.2,.608,1.8,-2.8,-0.3
Devin Booker\bookede01,20.6,.618,7.5,2.2,2.6
Chris Boucher\bouchch01,20.7,.587,3.8,2.0,0.8
Brian Bowen\bowenbr02,0.1,.300,-0.1,-10.9,-0.1
Ky Bowman\bowmaky01,9.1,.494,-0.1,-4.3,-0.6
Avery Bradley\bradlav01,8.9,.537,1.5,-2.5,-0.2
Tony Bradley\bradlto01,21.7,.681,3.3,1.3,0.6
Jarrell Brantley\brantja01,8.0,.416,0.0,-4.6,-0.1
Ignas Brazdeikis\brazdig01,3.2,.351,-0.1,-9.0,-0.1
Corey Brewer\breweco01,8.7,.470,0.0,-3.2,0.0
Mikal Bridges\bridgmi01,12.9,.620,4.8,0.8,1.5
Miles Bridges\bridgmi02,12.1,.520,1.6,-2.5,-0.3
Oshae Brissett\brissos01,6.7,.458,0.1,-5.3,-0.1
Ryan Broekhoff\broekry01,13.1,.568,0.4,0.8,0.1
Malcolm Brogdon\brogdma01,17.7,.541,4.0,1.8,1.6
Dillon Brooks\brookdi01,11.3,.510,1.2,-4.1,-1.1
Bruce Brown\brownbr01,11.9,.518,2.1,-1.2,0.3
Charlie Brown Jr.\brownch02,11.0,.472,0.0,-2.5,0.0
Jaylen Brown\brownja02,16.9,.583,4.9,0.8,1.4
Moses Brown\brownmo01,6.7,.407,0.0,-10.0,-0.1
Sterling Brown\brownst02,9.5,.486,1.1,-2.0,0.0
Troy Brown Jr.\browntr01,13.7,.524,2.4,-1.2,0.3
Jalen Brunson\brunsja01,14.9,.553,2.1,-0.9,0.3
Thomas Bryant\bryanth01,21.1,.649,3.9,2.2,1.2
Reggie Bullock\bullore01,9.3,.502,0.5,-3.0,-0.2
Trey Burke\burketr01,15.6,.548,1.3,-0.2,0.2
Trey Burke\burketr01,15.4,.545,0.9,-0.5,0.1
Trey Burke\burketr01,16.0,.553,0.5,0.2,0.1
Alec Burks\burksal01,16.7,.561,3.7,0.5,1.1
Alec Burks\burksal01,16.1,.552,2.5,0.1,0.7
Alec Burks\burksal01,19.0,.594,1.2,2.0,0.4
Deonte Burton\burtode02,4.3,.396,-0.5,-6.8,-0.4
