Player,G,MP,FG%,3P%,eFG%,TRB,AST,STL,BLK,PTS
Steven Adams\adamsst01,63,26.7,.592,.333,.593,9.3,2.3,0.8,1.1,10.9
Bam Adebayo\adebaba01,72,33.6,.557,.143,.558,10.2,5.1,1.1,1.3,15.9
LaMarcus Aldridge\aldrila01,53,33.1,.493,.389,.532,7.4,2.4,0.7,1.6,18.9
Kyle Alexander\alexaky01,2,6.5,.500,,.500,1.5,0.0,0.0,0.0,1.0
Nickeil Alexander-Walker\alexani01,47,12.6,.368,.346,.455,1.8,1.9,0.4,0.2,5.7
Grayson Allen\allengr01,38,18.9,.466,.404,.580,2.2,1.4,0.3,0.1,8.7
Jarrett Allen\allenja01,70,26.5,.649,.000,.649,9.6,1.6,0.6,1.3,11.1
Kadeem Allen\allenka01,10,11.7,.432,.313,.489,0.9,2.1,0.5,0.2,5.0
Al-Farouq Aminu\aminual01,18,21.1,.291,.250,.343,4.8,1.2,1.0,0.4,4.3
Justin Anderson\anderju01,10,10.7,.263,.207,.342,2.1,0.8,0.0,0.6,2.8
Kyle Anderson\anderky01,67,19.9,.474,.282,.511,4.3,2.4,0.8,0.6,5.8
Ryan Anderson\anderry01,2,7.0,.286,.200,.357,3.5,1.0,0.5,0.0,2.5
Giannis Antetokounmpo\antetgi01,63,30.4,.553,.304,.589,13.6,5.6,1.0,1.0,29.5
Kostas Antetokounmpo\antetko01,5,4.0,1.000,,1.000,0.6,0.4,0.0,0.0,1.4
Thanasis Antetokounmpo\antetth01,20,6.5,.500,.000,.500,1.2,0.8,0.4,0.1,2.8
Carmelo Anthony\anthoca01,58,32.8,.430,.385,.485,6.3,1.5,0.8,0.5,15.4
OG Anunoby\anunoog01,69,29.9,.505,.390,.584,5.3,1.6,1.4,0.7,10.6
Ryan Arcidiacono\arcidry01,58,16.0,.409,.391,.532,1.9,1.7,0.5,0.1,4.5
Trevor Ariza\arizatr01,53,28.2,.438,.372,.557,4.6,1.7,1.3,0.3,8.0
Trevor Ariza\arizatr01,32,24.7,.388,.352,.518,4.6,1.6,1.1,0.2,6.0
Trevor Ariza\arizatr01,21,33.4,.491,.400,.597,4.8,2.0,1.6,0.4,11.0
D.J. Augustin\augusdj01,57,24.9,.399,.348,.475,2.1,4.6,0.6,0.0,10.5
Deandre Ayton\aytonde01,38,32.5,.546,.231,.548,11.5,1.9,0.7,1.5,18.2
Dwayne Bacon\bacondw01,39,17.6,.348,.284,.387,2.6,1.3,0.6,0.1,5.7
Marvin Bagley III\baglema01,13,25.7,.467,.182,.479,7.5,0.8,0.5,0.9,14.2
Lonzo Ball\balllo01,63,32.1,.403,.375,.511,6.1,7.0,1.4,0.6,11.8
Mo Bamba\bambamo01,62,14.2,.462,.346,.526,4.9,0.7,0.4,1.4,5.4
