FG%,3P%,eFG%,TRB,AST,STL,BLK,PTS,PER,TS%,WS,BPM,VORP,All-star
0.557,0,0.557,10.1,3.4,1.4,0.8,19.1,21.8,0.608,7.2,3.8,2.7,no
0.677,0.1,0.678,10.8,1.6,0.8,1.3,16.1,23,0.698,8.5,3.9,2.7,yes
0.553,0.293,0.582,11.6,5.8,1.1,1.4,29.9,32.1,0.633,12.9,11.2,7.4,yes
0.391,0.338,0.464,5.4,5.7,0.7,0.3,16.3,13.5,0.519,1.6,-1.2,0.4,no
0.443,0.363,0.526,5.5,2.6,1.5,0.5,17.1,14.8,0.549,3.7,0.5,1.1,no
0.634,0.368,0.639,10.2,1.4,0.7,0.7,17.2,21.9,0.656,7.3,2.8,2.1,no
0.429,0.389,0.517,6.7,7.6,1.6,0.4,20.1,19.7,0.554,5.8,3.4,3.3,yes
0.423,0.423,0.567,5.4,5.1,1.8,0.9,13,14.5,0.575,2.2,2.5,1.4,no
0.461,0.436,0.565,4.4,2.7,1.2,0.4,18.2,17.6,0.592,7.2,2.7,2.7,no
0.469,0.394,0.554,5.6,2.4,0.7,0.2,16.4,15.7,0.623,6,0.2,1.4,no
0.492,0.301,0.524,7.5,3.5,1.1,0.7,15.3,16.3,0.552,6.6,0.9,1.9,no
0.408,0.342,0.466,5.8,3,0.6,0.2,20,13.7,0.511,2.3,-1.6,0.2,no
0.438,0.365,0.525,4.8,3.9,0.8,0.4,14.7,13.4,0.548,3.2,-0.5,0.9,no
0.451,0.3,0.492,4.7,6.6,0.9,0.4,23.2,17.5,0.539,1.4,0.8,1,no
0.396,0.346,0.489,5.4,2.8,0.9,0.2,16.1,14,0.529,4,-0.3,1.2,no
0.431,0.368,0.537,4,3.1,1.1,0.2,15.1,15.4,0.562,3.7,1.3,1.5,no
0.455,0.387,0.552,4.3,1.7,0.5,0,18.1,15.7,0.599,5.2,0,1.1,no
0.466,0.383,0.53,5,4.8,1.1,0.4,26.8,21.3,0.576,7.6,4.1,3.6,yes
0.534,0.369,0.601,4.2,2.3,1.2,0.4,14.2,14.4,0.627,8.9,1.6,2.6,no
0.491,0.331,0.554,7,3.8,0.9,0.8,20.2,17.9,0.593,7.2,1.5,2.5,no
0.448,0.312,0.501,5.1,5.9,0.8,0.4,19.1,18,0.557,2.7,2.3,1.3,no
