Player,PER,TS%,WS,BPM,VORP
Álex Abrines\abrinal01,9.0,.567,2.2,-1.5,0.1
Quincy Acy\acyqu01,8.2,.525,1.0,-2.5,-0.2
Steven Adams\adamsst01,20.6,.630,9.7,1.1,2.0
Bam Adebayo\adebaba01,15.7,.570,4.2,-0.4,0.6
Arron Afflalo\afflaar01,5.8,.516,0.1,-5.4,-0.6
Cole Aldrich\aldrico01,6.0,.340,0.0,-7.5,-0.1
LaMarcus Aldridge\aldrila01,25.0,.570,10.9,3.9,3.7
Jarrett Allen\allenja01,17.5,.636,4.2,-0.8,0.5
Kadeem Allen\allenka01,2.6,.366,-0.1,-7.7,-0.2
Tony Allen\allento01,8.7,.514,0.1,-5.5,-0.2
Al-Farouq Aminu\aminual01,12.0,.522,4.2,0.4,1.3
Justin Anderson\anderju01,13.0,.540,1.2,-0.9,0.1
Kyle Anderson\anderky01,15.9,.582,6.2,2.9,2.4
Ryan Anderson\anderry01,12.6,.592,4.8,0.1,0.9
Ike Anigbogu\anigbik01,21.6,.558,0.1,1.9,0.0
Giannis Antetokounmpo\antetgi01,27.3,.598,11.9,6.2,5.7
Carmelo Anthony\anthoca01,12.7,.503,3.7,-1.9,0.0
OG Anunoby\anunoog01,10.0,.587,3.0,-0.6,0.5
Ryan Arcidiacono\arcidry01,7.3,.550,0.3,-4.1,-0.2
Trevor Ariza\arizatr01,11.8,.567,5.3,0.7,1.5
Darrell Arthur\arthuda01,8.4,.559,0.0,-5.3,-0.1
Jamel Artis\artisja01,6.9,.457,0.0,-5.4,-0.2
Ömer Aşık\asikom01,3.1,.397,-0.1,-8.0,-0.3
Ömer Aşık\asikom01,4.5,.423,0.0,-7.0,-0.2
Ömer Aşık\asikom01,0.2,.311,-0.1,-10.0,-0.1
D.J. Augustin\augusdj01,15.4,.615,4.1,-0.2,0.8
Luke Babbitt\babbilu01,9.8,.576,0.9,-2.4,-0.1
Luke Babbitt\babbilu01,12.0,.636,1.1,-0.7,0.2
Luke Babbitt\babbilu01,1.3,.351,-0.2,-9.2,-0.3
Dwayne Bacon\bacondw01,5.8,.431,-0.1,-4.7,-0.5
Ron Baker\bakerro01,9.3,.504,0.5,-0.4,0.2
Wade Baldwin\baldwwa01,16.6,.748,0.3,1.9,0.1
Lonzo Ball\balllo01,12.5,.444,2.0,1.0,1.3
J.J. Barea\bareajo01,17.8,.545,3.3,1.2,1.3
Harrison Barnes\barneha02,15.8,.539,3.8,-0.5,1.0
Will Barton\bartowi01,16.2,.562,6.2,1.1,2.1
Nicolas Batum\batumni01,14.4,.523,3.5,0.4,1.2
Jerryd Bayless\bayleje01,7.5,.546,1.1,-2.8,-0.2
Aron Baynes\baynear01,12.0,.502,3.0,-2.9,-0.3
Kent Bazemore\bazemke01,14.5,.547,2.2,0.6,1.2
Bradley Beal\bealbr01,18.4,.564,6.9,2.2,3.1
Malik Beasley\beaslma01,9.0,.509,0.3,-3.8,-0.3
Michael Beasley\beaslmi01,17.8,.556,2.4,-0.2,0.7
Marco Belinelli\belinma01,14.1,.581,3.7,-0.5,0.8
Marco Belinelli\belinma01,14.1,.554,1.9,-0.2,0.5
Marco Belinelli\belinma01,14.2,.628,1.8,-0.8,0.2
Jordan Bell\belljo01,18.0,.641,2.9,2.8,1.0
DeAndre' Bembry\bembrde01,7.6,.477,-0.4,-4.7,-0.3
Dragan Bender\bendedr01,7.1,.524,0.1,-3.7,-0.9
Dāvis Bertāns\bertada01,14.1,.588,3.1,1.6,1.0
Patrick Beverley\beverpa01,12.4,.530,0.4,0.5,0.2
Khem Birch\birchkh01,16.4,.582,1.8,-0.9,0.2
Jabari Bird\birdja01,12.1,.615,0.2,-3.1,0.0
Bismack Biyombo\biyombi01,14.1,.556,2.9,-2.4,-0.2
Nemanja Bjelica\bjeline01,12.6,.581,2.8,0.1,0.7
Tarik Black\blackta01,14.3,.582,1.5,-2.6,-0.1
Antonio Blakeney\blakean01,10.1,.471,0.0,-5.2,-0.3
Eric Bledsoe\bledser01,19.7,.582,5.6,2.5,2.6
Eric Bledsoe\bledser01,13.0,.509,0.0,-3.2,0.0
Eric Bledsoe\bledser01,20.0,.585,5.7,2.8,2.7
Vander Blue\blueva01,-1.8,.255,-0.1,-8.4,-0.1
Bogdan Bogdanović\bogdabo01,13.5,.556,2.9,-1.5,0.3
Bojan Bogdanović\bogdabo02,13.9,.605,5.4,-0.7,0.8
Andrew Bogut\bogutan01,10.9,.696,0.4,-2.8,-0.1
Joel Bolomboy\bolomjo01,11.7,.521,0.1,-5.0,0.0
Devin Booker\bookede01,18.1,.561,2.4,0.9,1.4
Trevor Booker\booketr01,14.9,.557,2.9,-0.6,0.4
Trevor Booker\booketr01,15.4,.536,0.6,-1.7,0.0
Trevor Booker\booketr01,14.5,.618,1.7,0.7,0.3
Trevor Booker\booketr01,14.7,.512,0.7,-1.1,0.1
Chris Boucher\bouchch01,-28.5,.000,0.0,-33.1,0.0
Avery Bradley\bradlav01,9.6,.496,-0.2,-4.0,-0.7
Avery Bradley\bradlav01,9.7,.497,-0.2,-3.9,-0.6
Avery Bradley\bradlav01,9.0,.492,0.0,-4.4,-0.1
Tony Bradley\bradlto01,9.5,.337,0.0,-7.5,0.0
Corey Brewer\breweco01,11.2,.534,2.3,-1.3,0.2
Corey Brewer\breweco01,8.9,.509,0.7,-3.1,-0.2
Corey Brewer\breweco01,14.2,.565,1.6,1.1,0.4
Malcolm Brogdon\brogdma01,14.3,.578,2.7,-1.2,0.3
Aaron Brooks\brookaa01,9.8,.508,0.1,-3.8,-0.1
Dillon Brooks\brookdi01,9.8,.531,1.2,-4.0,-1.2
MarShon Brooks\brookma01,26.1,.629,0.7,7.1,0.4
Anthony Brown\brownan02,41.9,1.500,0.0,30.5,0.0
Bobby Brown\brownbo02,5.5,.425,-0.2,-7.2,-0.2
Jaylen Brown\brownja02,13.6,.562,4.5,-0.5,0.8
Lorenzo Brown\brownlo01,8.2,.459,0.2,-2.5,0.0
Markel Brown\brownma02,-1.2,.357,0.0,-10.8,-0.1
Sterling Brown\brownst02,9.1,.503,0.7,-3.1,-0.2
Nicolás Brussino\brussni01,-4.6,.000,0.0,-11.3,0.0
Thomas Bryant\bryanth01,9.9,.441,0.1,-3.3,0.0
Reggie Bullock\bullore01,13.6,.615,4.2,0.7,1.2
Trey Burke\burketr01,21.0,.563,2.4,2.5,0.9
Alec Burks\burksal01,13.1,.527,1.9,-0.9,0.3
Jimmy Butler\butleji01,23.7,.590,8.9,5.8,4.2
Dwight Buycks\buyckdw01,12.8,.498,0.2,-3.1,-0.1
Bruno Caboclo\cabocbr01,7.4,.386,0.0,-5.8,-0.1
Bruno Caboclo\cabocbr01,-0.1,.000,0.0,-2.6,0.0
Bruno Caboclo\cabocbr01,7.9,.411,0.0,-6.1,-0.1
José Calderón\caldejo01,11.3,.643,1.8,-1.9,0.0
Kentavious Caldwell-Pope\caldwke01,13.2,.561,5.3,0.3,1.4
Isaiah Canaan\canaais01,13.5,.539,0.6,-1.3,0.1
Isaiah Canaan\canaais01,-7.3,.000,0.0,-16.9,0.0
Isaiah Canaan\canaais01,13.7,.543,0.7,-1.1,0.1
Clint Capela\capelca01,24.5,.650,10.2,3.4,2.8
DeMarre Carroll\carrode01,14.3,.550,4.1,0.2,1.2
Vince Carter\cartevi01,10.8,.523,1.2,-1.2,0.2
Michael Carter-Williams\cartemi01,10.8,.446,0.9,-1.5,0.1
Alex Caruso\carusal01,8.7,.519,0.5,-2.9,-0.1
Omri Casspi\casspom01,15.5,.632,2.2,-0.9,0.2
Willie Cauley-Stein\caulewi01,17.6,.529,3.9,-0.1,1.0
Tyler Cavanaugh\cavanty01,13.0,.567,1.2,-1.9,0.0
Mario Chalmers\chalmma01,10.4,.503,0.6,-3.2,-0.4
Tyson Chandler\chandty01,14.2,.658,2.7,-1.4,0.2
Wilson Chandler\chandwi01,10.9,.542,3.3,-2.1,-0.1
Marquese Chriss\chrisma01,11.1,.509,0.7,-2.8,-0.3
Ian Clark\clarkia01,9.4,.529,1.1,-3.5,-0.6
Jordan Clarkson\clarkjo01,16.4,.542,3.0,0.1,1.0
Jordan Clarkson\clarkjo01,16.9,.532,2.1,0.8,0.9
Jordan Clarkson\clarkjo01,15.4,.565,1.0,-1.3,0.1
Gian Clavell\clavegi01,7.4,.530,0.1,-2.2,0.0
Antonius Cleveland\clevean01,4.5,.486,0.0,-5.2,-0.1
Antonius Cleveland\clevean01,5.1,.317,0.0,-3.3,0.0
Antonius Cleveland\clevean01,3.5,.825,0.0,-9.0,-0.1
John Collins\collijo01,18.3,.620,5.4,-0.2,0.8
Zach Collins\colliza01,7.5,.475,0.6,-4.3,-0.6
Kyle Collinsworth\colliky01,10.0,.433,0.5,-2.6,-0.1
Darren Collison\collida01,18.8,.610,7.6,2.7,2.4
Nick Collison\collini01,13.2,.627,0.1,-4.2,0.0
Mike Conley\conlemi01,15.4,.520,0.6,0.5,0.2
Pat Connaughton\connapa01,9.3,.539,2.5,-1.8,0.1
Quinn Cook\cookqu01,12.8,.593,1.6,-1.6,0.1
Charles Cooke\cookech01,-5.1,.202,-0.2,-14.4,-0.1
Jack Cooley\cooleja01,19.7,.566,0.3,-0.6,0.0
Matt Costello\costema01,9.7,.500,0.1,-0.7,0.0
DeMarcus Cousins\couside01,22.6,.583,4.7,4.7,2.9
Robert Covington\covinro01,12.9,.563,6.1,1.5,2.3
Allen Crabbe\crabbal01,12.3,.558,3.2,-0.7,0.7
Torrey Craig\craigto01,9.8,.535,0.9,-2.9,-0.1
Jamal Crawford\crawfja01,13.0,.519,1.3,-2.3,-0.1
Jordan Crawford\crawfjo02,19.1,.601,0.2,4.2,0.1
Jae Crowder\crowdja01,10.4,.525,2.6,-2.5,-0.3
Jae Crowder\crowdja01,10.2,.545,1.7,-3.0,-0.3
Jae Crowder\crowdja01,10.8,.499,0.9,-1.7,0.1
Dante Cunningham\cunnida01,10.0,.539,2.4,-1.7,0.1
Dante Cunningham\cunnida01,8.4,.525,1.6,-2.0,0.0
Dante Cunningham\cunnida01,13.8,.561,0.9,-0.9,0.1
Stephen Curry\curryst01,28.2,.675,9.1,7.7,4.0
Troy Daniels\danietr01,9.8,.583,1.4,-2.6,-0.3
Anthony Davis\davisan02,28.9,.612,13.7,6.7,5.9
Deyonta Davis\davisde01,16.6,.621,2.7,-1.5,0.1
Ed Davis\davised01,15.5,.607,5.0,-0.6,0.5
Dewayne Dedmon\dedmode01,15.8,.599,3.7,0.1,0.8
Sam Dekker\dekkesa01,11.5,.534,1.2,-2.9,-0.2
Malcolm Delaney\delanma01,10.6,.519,1.0,-2.6,-0.1
Matthew Dellavedova\dellama01,8.6,.500,0.5,-4.4,-0.4
Luol Deng\denglu01,5.5,.500,0.0,-2.9,0.0
DeMar DeRozan\derozde01,21.0,.555,9.6,2.8,3.2
Cheick Diallo\diallch01,17.0,.619,1.9,-1.2,0.1
Gorgui Dieng\dienggo01,14.7,.543,2.9,-1.0,0.3
Spencer Dinwiddie\dinwisp01,15.9,.527,5.7,0.6,1.5
Tyler Dorsey\dorsety01,10.0,.494,0.4,-2.9,-0.2
Damyean Dotson\dotsoda01,11.6,.532,0.6,-2.3,0.0
Milton Doyle\doylemi01,5.2,.337,-0.1,-6.8,-0.1
PJ Dozier\doziepj01,-5.0,.500,0.0,-20.4,0.0
Goran Dragić\dragigo01,16.6,.543,5.3,0.3,1.4
Larry Drew II\drewla02,2.9,.354,-0.1,-9.0,-0.1
Larry Drew II\drewla02,-9.4,.143,-0.1,-22.6,-0.1
Larry Drew II\drewla02,6.3,.441,0.0,-5.3,0.0
Andre Drummond\drumman01,22.9,.555,10.3,3.2,3.4
Jared Dudley\dudleja01,8.8,.553,0.8,-2.5,-0.1
Kris Dunn\dunnkr01,14.5,.488,0.9,-1.3,0.3
Kevin Durant\duranke01,26.0,.640,10.4,7.3,5.5
Jarell Eddie\eddieja01,-1.9,.000,0.0,-8.3,0.0
Jarell Eddie\eddieja01,4.0,.000,0.0,-1.3,0.0
Jarell Eddie\eddieja01,-13.5,.000,0.0,-22.1,0.0
Henry Ellenson\ellenhe01,10.5,.476,0.1,-4.4,-0.2
Wayne Ellington\ellinwa01,12.5,.588,4.5,0.4,1.2
Joel Embiid\embiijo01,22.9,.573,6.2,3.3,2.6
James Ennis III\ennisja01,11.6,.588,3.1,-1.2,0.3
James Ennis III\ennisja01,11.9,.610,2.0,-0.6,0.4
James Ennis III\ennisja01,11.2,.558,1.0,-2.3,-0.1
Tyler Ennis\ennisty01,11.1,.473,0.8,-2.1,0.0
Jawun Evans\evansja01,7.2,.421,-0.2,-5.0,-0.6
Jeremy Evans\evansje01,10.4,1.000,0.0,-9.9,0.0
Tyreke Evans\evansty01,21.1,.561,4.2,4.5,2.6
Dante Exum\exumda01,16.7,.566,0.7,0.1,0.1
Kenneth Faried\farieke01,17.4,.552,1.3,-2.1,0.0
Derrick Favors\favorde01,18.8,.593,8.0,1.5,1.9
Kay Felder\feldeka01,3.6,.379,-0.5,-11.1,-0.3
Kay Felder\feldeka01,3.6,.386,-0.5,-10.7,-0.3
Kay Felder\feldeka01,2.0,.250,0.0,-21.4,0.0
Cristiano Felício\feliccr01,12.5,.614,1.7,-3.9,-0.5
Raymond Felton\feltora01,13.0,.494,2.2,-0.6,0.5
Terrance Ferguson\fergute01,7.4,.545,1.2,-3.3,-0.3
Yogi Ferrell\ferreyo01,11.4,.540,3.0,-1.4,0.4
Dorian Finney-Smith\finnedo01,7.6,.482,0.1,-4.6,-0.3
Bryn Forbes\forbebr01,9.1,.525,2.1,-3.1,-0.4
Evan Fournier\fournev01,15.5,.577,3.3,-0.6,0.7
De'Aaron Fox\foxde01,11.2,.478,-0.6,-4.2,-1.1
Tim Frazier\fraziti01,11.3,.475,1.4,-0.9,0.2
Enes Freedom\kanteen01,24.0,.630,7.6,2.2,1.9
Channing Frye\fryech01,13.1,.599,1.5,-0.5,0.3
Channing Frye\fryech01,13.9,.604,1.2,-0.3,0.3
Channing Frye\fryech01,10.2,.581,0.3,-1.5,0.0
Markelle Fultz\fultzma01,12.4,.416,0.2,-2.6,0.0
Danilo Gallinari\gallida01,13.8,.545,1.2,-0.5,0.3
Langston Galloway\gallola01,12.2,.503,1.4,0.1,0.5
Marc Gasol\gasolma01,17.4,.532,4.0,2.3,2.7
Pau Gasol\gasolpa01,18.9,.539,6.0,3.4,2.5
